File name,Original size (px),Original size (bpp),Original entropy (bits/symbol),Compressed entropy (bits/symbol)
elephant-1024x1024-DepthCamera_9-originalDepthMap.dat,1024x1024,88.0769500732,2.1350859044,1.8807677908
elephant-1024x1024-DepthCamera_4-originalDepthMap.dat,1024x1024,88.1356658936,1.6066689918,1.9001729183
elephant-1024x1024-DepthCamera_6-originalDepthMap.dat,1024x1024,88.0078125,1.9141961523,1.950325574
elephant-1024x1024-DepthCamera_2-originalDepthMap.dat,1024x1024,88.0078125,2.3442281201,1.9436046749
elephant-1024x1024-DepthCamera_10-originalDepthMap.dat,1024x1024,88.0078125,2.1706562781,1.927244666
elephant-1024x1024-DepthCamera_3-originalDepthMap.dat,1024x1024,88.0654144287,2.3776526572,1.9341773857
elephant-1024x1024-DepthCamera_8-originalDepthMap.dat,1024x1024,88.0078125,2.2986606151,1.9515464139
elephant-1024x1024-DepthCamera_11-originalDepthMap.dat,1024x1024,88.0626296997,1.9757375903,1.9002460347
elephant-1024x1024-DepthCamera_0-originalDepthMap.dat,1024x1024,87.9998931885,1.9452062441,1.8954664163
elephant-1024x1024-DepthCamera_1-originalDepthMap.dat,1024x1024,88.0078125,2.6647208218,1.9009219655
elephant-1024x1024-DepthCamera_5-originalDepthMap.dat,1024x1024,88.2624359131,2.5461796814,1.8494491044
elephant-1024x1024-DepthCamera_7-originalDepthMap.dat,1024x1024,88.4742660522,2.2951536585,1.8376399862
